"name","hp","atk","def","spa","spd","spe","weight","height","type1","type2","ability1","ability2","ability3","ability4","Normal_def","Fighting_def","Flying_def","Poison_def","Ground_def","Rock_def","Bug_def","Ghost_def","Steel_def","Fire_def","Water_def","Grass_def","Electric_def","Psychic_def","Ice_def","Dragon_def","Dark_def","Fairy_def"
"Abomasnow",90,92,75,92,85,60,135.5,2.2,"Grass","Ice","Snow Warning","Soundproof","None","None",4,8,8,8,2,8,8,4,8,16,2,2,2,4,4,4,4,4
"Abra",25,20,15,105,55,90,19.5,0.9,"Psychic","None","Inner Focus","Magic Guard","Synchronize","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Absol",65,130,60,75,60,75,47,1.2,"Dark","None","Justified","Pressure","Super Luck","None",4,8,4,4,4,4,8,2,4,4,4,4,4,0,4,4,2,8
"Accelgor",80,70,40,100,60,145,25.3,0.8,"Bug","None","Hydration","Sticky Hold","Unburden","None",4,2,8,4,2,8,4,4,4,8,4,2,4,4,4,4,4,4
"Aegislash",60,50,150,50,150,60,52,1.7,"Steel","Ghost","Stance Change","None","None","None",0,0,2,0,8,2,1,8,2,8,4,2,4,2,2,2,8,2
"Aerodactyl",80,105,65,60,75,130,59,1.8,"Rock","Flying","Pressure","Rock Head","Unnerve","None",2,4,2,2,0,8,2,4,8,2,8,4,8,4,8,4,4,4
"Aggron",70,110,180,60,60,50,360,2.1,"Steel","Rock","Heavy Metal","Rock Head","Sturdy","None",1,16,1,0,16,2,2,4,4,4,8,4,4,2,2,2,4,2
"Aipom",55,70,55,40,55,85,11.5,0.8,"Normal","None","Pickup","Run Away","Skill Link","None",4,8,4,4,4,4,4,0,4,4,4,4,4,4,4,4,4,4
"Alakazam",55,50,45,135,95,120,48,1.5,"Psychic","None","Inner Focus","Magic Guard","Synchronize","None",4,2,4,4,4,4,8,8,4,4,4,4,4,2,4,4,8,4
"Alomomola",165,75,80,40,45,65,31.6,1.2,"Water","None","Healer","Hydration","Regenerator","None",4,4,4,4,4,4,4,4,2,2,2,8,8,4,2,4,4,4
"Altaria",75,70,90,70,105,80,20.6,1.1,"Dragon","Flying","Cloud Nine","Natural Cure","None","None",4,2,4,4,0,8,2,4,4,2,2,1,4,4,16,8,4,8
"Amaura",77,59,50,67,63,46,25.2,1.3,"Rock","Ice","Refrigerate","Snow Warning","None","None",2,16,2,2,8,8,4,4,16,4,8,8,4,4,2,4,4,4
